price,model_year,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed,brand,car_model
21500,2019,good,6,hybrid,16168.0,other,truck,white,0,2019-03-29,70,nissan,frontier crew cab sv
19700,2017,good,6,hybrid,35807.0,other,coupe,black,0,2019-03-11,33,chevrolet,camaro lt coupe 2d
22800,2013,good,8,hybrid,207738.0,automatic,truck,brown,1,2018-11-08,62,ford,f350 sd
28400,2017,good,8,hybrid,6665.0,other,coupe,blue,0,2018-05-16,46,ford,mustang gt coupe 2d
29900,2018,good,8,hybrid,3827.0,automatic,coupe,yellow,0,2019-03-22,48,ford,mustang gt coupe 2d
22500,2019,good,6,hybrid,24209.0,other,truck,unknown,1,2019-03-03,73,nissan,frontier crew cab sv
24600,2014,good,6,hybrid,85048.0,automatic,truck,silver,1,2018-08-19,96,chevrolet,silverado 1500 crew
21900,2018,good,6,hybrid,27576.0,other,truck,unknown,1,2018-11-22,58,nissan,frontier crew cab sv
4600,2012,good,4,hybrid,146000.0,automatic,sedan,unknown,0,2018-06-07,32,nissan,versa
33900,2018,good,8,hybrid,11315.0,other,truck,white,1,2019-03-01,2,chevrolet,silverado 1500 crew
4800,2006,like new,4,hybrid,195000.0,automatic,sedan,silver,0,2018-12-12,49,honda,accord
4500,2012,excellent,6,hybrid,145000.0,automatic,sedan,white,0,2018-10-10,38,chevrolet,impala
21595,2015,excellent,8,hybrid,92634.0,automatic,truck,black,1,2018-11-15,53,chevrolet,silverado 1500
37000,2018,good,8,hybrid,30465.0,other,truck,white,1,2019-01-13,55,chevrolet,silverado 1500 crew
10999,2010,good,6,hybrid,98193.0,automatic,SUV,blue,1,2018-08-11,78,ford,edge
2900,2000,good,6,hybrid,170000.0,automatic,sedan,green,0,2018-09-23,12,nissan,maxima
2700,2005,good,6,hybrid,150352.0,automatic,SUV,silver,0,2019-04-02,49,chevrolet,equinox
9500,2009,good,8,hybrid,189490.0,automatic,truck,white,1,2018-08-03,6,ford,f250
4900,2011,good,4,hybrid,116000.0,automatic,sedan,silver,0,2018-11-30,19,nissan,sentra
24000,2018,good,6,hybrid,16295.0,other,truck,blue,1,2018-05-26,30,nissan,frontier crew cab sv
24700,2015,good,8,hybrid,37270.0,other,coupe,black,0,2019-04-16,41,ford,mustang gt coupe 2d
26900,2014,good,8,hybrid,68607.0,automatic,truck,black,1,2018-07-28,18,chevrolet,silverado 1500 crew
19500,2014,excellent,8,hybrid,116000.0,automatic,truck,grey,1,2018-06-26,40,ford,f150
2000,1993,good,8,hybrid,258225.0,automatic,truck,red,0,2019-03-06,34,ford,f150
13995,2010,excellent,8,hybrid,151442.0,automatic,truck,silver,1,2018-12-20,72,chevrolet,silverado 1500
39990,2015,like new,8,hybrid,17340.0,manual,coupe,unknown,0,2018-07-14,38,chevrolet,corvette
11995,2012,excellent,8,hybrid,158487.0,automatic,SUV,grey,1,2018-11-10,16,chevrolet,suburban
15995,2013,excellent,6,hybrid,138806.0,automatic,SUV,black,1,2018-09-08,112,jeep,wrangler
7995,2012,excellent,4,hybrid,81559.0,automatic,sedan,black,0,2018-12-16,57,chevrolet,cruze
28250,2017,excellent,8,hybrid,13808.0,automatic,truck,white,1,2018-08-17,11,chevrolet,silverado 1500
6995,2004,excellent,8,hybrid,92546.0,automatic,SUV,blue,1,2018-05-23,18,ford,expedition
13900,2016,excellent,6,hybrid,62711.0,automatic,van,black,0,2019-04-11,37,dodge,grand caravan
28975,2017,excellent,8,hybrid,8354.0,automatic,truck,black,1,2019-01-07,13,chevrolet,silverado 1500
14995,2011,excellent,6,hybrid,118371.0,automatic,SUV,orange,1,2019-01-25,49,jeep,wrangler
25600,2017,good,8,hybrid,42957.0,other,coupe,unknown,0,2019-01-24,83,ford,mustang gt coupe 2d
12990,2011,good,8,hybrid,124775.0,automatic,SUV,custom,1,2018-06-11,50,ford,expedition
6300,2010,excellent,6,hybrid,155743.0,automatic,sedan,unknown,0,2018-11-01,30,ford,taurus
26400,2016,good,8,hybrid,16890.0,other,coupe,white,0,2018-05-15,10,ford,mustang gt coupe 2d
17300,2014,good,6,hybrid,27915.0,other,coupe,red,0,2019-01-16,25,chevrolet,camaro lt coupe 2d
26700,2017,good,8,hybrid,26192.0,other,coupe,black,0,2019-02-14,17,ford,mustang gt coupe 2d
18975,2012,excellent,8,hybrid,24390.0,automatic,truck,white,0,2018-11-15,61,chevrolet,silverado 1500
31800,2018,good,8,hybrid,22838.0,automatic,truck,white,1,2019-01-29,29,chevrolet,silverado 1500 crew
3995,1999,good,6,hybrid,180000.0,automatic,sedan,black,0,2018-06-19,52,acura,tl
18600,2012,good,8,hybrid,96562.0,other,coupe,red,0,2018-12-20,14,ford,mustang gt coupe 2d
3995,2001,good,6,hybrid,102000.0,automatic,truck,brown,0,2018-05-27,79,ford,ranger
7975,2007,excellent,8,hybrid,228409.0,automatic,truck,white,0,2018-10-27,15,gmc,sierra
9950,2008,excellent,6,hybrid,207348.0,automatic,SUV,unknown,1,2018-10-28,11,toyota,4runner
3595,2005,good,6,hybrid,147667.0,automatic,sedan,red,0,2018-11-12,30,chevrolet,impala
9850,2008,good,8,hybrid,182225.0,automatic,truck,blue,1,2018-08-15,36,chevrolet,silverado 1500
18600,2012,good,8,hybrid,96562.0,other,coupe,red,0,2018-07-31,59,ford,mustang gt coupe 2d
5995,2006,good,6,hybrid,148600.0,automatic,truck,silver,1,2018-11-10,35,ford,ranger
6900,2011,excellent,6,hybrid,135445.0,automatic,SUV,unknown,1,2018-11-02,57,subaru,outback
31400,2016,good,8,hybrid,15070.0,automatic,truck,black,1,2019-01-17,64,chevrolet,silverado 1500 crew
24200,2018,good,6,hybrid,11034.0,other,truck,blue,1,2018-06-29,9,nissan,frontier crew cab sv
7500,1997,good,8,hybrid,185000.0,manual,coupe,white,0,2019-01-05,9,ford,mustang
11950,2003,excellent,6,hybrid,97211.0,automatic,SUV,custom,1,2018-08-01,15,jeep,wrangler
16950,2010,excellent,6,hybrid,85490.0,other,SUV,red,1,2018-12-26,29,jeep,wrangler
6500,2009,good,6,hybrid,98000.0,manual,SUV,unknown,0,2019-03-18,27,hyundai,santa fe
15000,2009,excellent,6,hybrid,221000.0,automatic,truck,black,1,2019-02-20,30,toyota,tacoma
52000,2008,good,8,hybrid,117500.0,automatic,truck,grey,1,2018-06-27,24,ford,f350 sd
10950,2011,excellent,8,hybrid,130390.0,automatic,SUV,unknown,1,2018-12-23,33,ford,expedition
23000,2018,like new,4,hybrid,15000.0,manual,sedan,unknown,0,2018-08-22,37,honda,accord
3950,2009,excellent,4,hybrid,137882.0,automatic,hatchback,silver,1,2018-08-22,19,subaru,impreza
5295,2005,good,8,hybrid,225000.0,automatic,truck,white,1,2018-06-19,15,ford,f150
8999,2013,excellent,4,hybrid,122964.0,automatic,wagon,unknown,1,2018-06-03,31,ford,escape
5999,2012,excellent,4,hybrid,76737.0,automatic,sedan,silver,0,2018-07-31,3,nissan,versa
10000,2006,excellent,8,hybrid,181000.0,automatic,truck,silver,1,2018-07-17,9,ford,f150
17999,2008,excellent,8,hybrid,101959.0,automatic,truck,white,1,2018-05-06,46,gmc,sierra 2500hd
7999,2012,excellent,4,hybrid,93496.0,automatic,wagon,black,0,2018-10-15,29,nissan,rogue
28200,2012,excellent,8,hybrid,129000.0,automatic,truck,black,1,2018-07-15,30,ford,f350 sd
2000,2002,good,4,hybrid,216875.0,automatic,coupe,red,0,2018-05-21,47,honda,civic lx
22914,2015,excellent,6,hybrid,69686.0,automatic,SUV,white,1,2018-08-11,19,bmw,x5
19900,2013,excellent,6,hybrid,79657.0,automatic,truck,silver,1,2018-10-30,42,ford,f150
24495,2016,excellent,6,hybrid,50123.0,automatic,SUV,white,1,2018-11-17,49,ford,explorer
5300,2010,good,8,hybrid,156000.0,automatic,sedan,white,0,2018-07-04,43,dodge,charger
22900,2015,excellent,8,hybrid,85190.0,automatic,truck,custom,1,2018-05-15,24,gmc,sierra 1500
14685,2011,excellent,6,hybrid,145671.0,automatic,truck,black,1,2019-01-03,8,toyota,tacoma
24869,2015,excellent,8,hybrid,82056.0,automatic,truck,black,1,2019-03-20,23,gmc,sierra 1500
4999,2005,excellent,4,hybrid,105000.0,automatic,sedan,silver,0,2019-03-01,60,toyota,camry le
7800,2012,good,6,hybrid,157000.0,automatic,SUV,blue,1,2018-11-30,4,chevrolet,traverse
12500,2009,excellent,8,hybrid,159000.0,automatic,SUV,unknown,1,2018-10-01,26,cadillac,escalade
4975,2007,excellent,6,hybrid,205000.0,automatic,mini-van,brown,0,2018-10-28,35,honda,odyssey
2795,2003,good,4,hybrid,178950.0,manual,sedan,unknown,0,2018-05-20,98,volkswagen,jetta
41800,2018,good,8,hybrid,148459.0,automatic,truck,unknown,1,2019-03-19,11,chevrolet,silverado 3500hd
10800,2015,excellent,4,hybrid,28150.0,automatic,sedan,black,1,2018-09-25,24,toyota,camry
2750,2006,good,4,hybrid,200.0,manual,sedan,black,0,2018-07-06,41,honda,civic lx
7995,2008,excellent,6,hybrid,104613.0,automatic,SUV,silver,1,2018-05-23,23,jeep,grand cherokee
22500,2013,good,8,hybrid,128415.0,automatic,truck,green,1,2019-03-03,32,ford,f250 sd
9995,2013,excellent,6,hybrid,81999.0,automatic,van,unknown,0,2019-01-07,71,chrysler,town & country
6995,2005,like new,6,hybrid,45429.0,automatic,sedan,grey,0,2018-11-04,53,honda,accord
11795,2015,excellent,4,hybrid,111048.0,automatic,truck,white,0,2018-09-30,30,toyota,tacoma
6995,2011,excellent,4,hybrid,117371.0,automatic,sedan,grey,1,2019-02-26,20,hyundai,sonata
6795,2013,excellent,5,hybrid,119453.0,automatic,sedan,red,0,2018-12-12,19,volkswagen,passat
6795,2012,excellent,5,hybrid,104310.0,automatic,sedan,white,0,2019-03-11,16,volkswagen,jetta
7995,2014,excellent,4,hybrid,120052.0,automatic,sedan,blue,0,2018-10-27,27,chevrolet,cruze
25800,2015,like new,6,hybrid,49900.0,automatic,truck,white,1,2018-07-24,39,toyota,tacoma
8595,2010,excellent,4,hybrid,99630.0,automatic,hatchback,white,0,2019-02-05,44,toyota,prius
8995,2010,excellent,4,hybrid,74138.0,automatic,hatchback,white,0,2018-07-09,38,toyota,prius
7100,2004,good,8,hybrid,121000.0,automatic,truck,unknown,1,2019-03-10,23,ford,f150
4795,2007,excellent,4,hybrid,131020.0,automatic,sedan,grey,0,2018-10-19,31,nissan,altima
6500,2009,good,8,hybrid,113000.0,automatic,truck,white,1,2018-09-09,19,ford,f250
1500,2001,good,6,hybrid,185000.0,automatic,SUV,black,1,2018-10-15,56,jeep,grand cherokee
9799,2017,excellent,4,hybrid,51153.0,automatic,sedan,silver,1,2018-06-23,35,nissan,altima
11799,2014,excellent,6,hybrid,50468.0,automatic,coupe,yellow,0,2018-12-30,39,chevrolet,camaro
5700,2002,good,8,hybrid,105000.0,automatic,truck,silver,1,2018-06-17,68,chevrolet,silverado 1500
3700,2009,good,4,hybrid,174902.0,automatic,SUV,black,0,2019-03-14,31,nissan,rogue
11799,2015,excellent,6,hybrid,26881.0,automatic,coupe,red,0,2019-02-03,21,chevrolet,camaro
9299,2016,excellent,4,hybrid,47833.0,automatic,sedan,silver,0,2019-01-19,75,nissan,altima
3750,2007,fair,6,hybrid,131800.0,automatic,SUV,grey,1,2018-06-29,50,jeep,grand cherokee laredo
3800,2012,good,4,hybrid,186576.0,automatic,sedan,black,0,2019-01-02,37,nissan,altima
7995,2011,good,4,hybrid,112000.0,automatic,SUV,blue,1,2019-02-12,53,subaru,forester
23200,2018,good,6,hybrid,7136.0,other,coupe,black,0,2018-08-18,25,chevrolet,camaro lt coupe 2d
5500,1981,fair,8,hybrid,75000.0,automatic,coupe,blue,0,2019-01-15,49,chevrolet,corvette
9100,2014,good,4,hybrid,100100.0,automatic,SUV,silver,1,2018-08-30,74,kia,sorento
18675,2015,good,8,hybrid,86115.0,automatic,truck,unknown,1,2018-11-11,7,ram,1500
13889,2005,good,8,hybrid,95914.0,automatic,truck,custom,1,2018-07-13,37,gmc,sierra 2500hd
5000,2011,excellent,4,hybrid,173000.0,automatic,sedan,white,0,2018-06-26,19,toyota,camry le
3250,2001,fair,8,hybrid,296000.0,automatic,truck,black,1,2018-12-07,24,ford,f150
28200,2012,excellent,8,hybrid,129000.0,automatic,truck,black,1,2018-09-26,28,ford,f350 sd
15900,2016,excellent,4,hybrid,19764.0,automatic,SUV,unknown,1,2018-12-09,48,ford,escape
22914,2015,excellent,6,hybrid,69686.0,automatic,SUV,white,1,2018-07-07,9,bmw,x5
22900,2015,excellent,8,hybrid,85190.0,automatic,truck,unknown,1,2018-08-24,11,gmc,sierra 1500
19900,2013,excellent,6,hybrid,79657.0,automatic,truck,silver,1,2019-03-01,4,ford,f150
24869,2015,excellent,8,hybrid,82056.0,automatic,truck,black,1,2018-06-29,22,gmc,sierra 1500
22399,2011,excellent,8,hybrid,121047.0,automatic,truck,unknown,1,2018-05-17,66,gmc,sierra 2500hd
17379,2007,excellent,6,hybrid,111921.0,automatic,SUV,unknown,1,2018-12-26,50,jeep,wrangler
5999,2012,excellent,4,hybrid,99000.0,automatic,sedan,black,0,2018-12-27,28,nissan,altima
10900,2012,excellent,4,hybrid,132000.0,manual,truck,red,1,2018-10-10,46,toyota,tacoma
3500,2004,fair,4,hybrid,155000.0,automatic,sedan,white,0,2018-11-16,33,toyota,camry
41999,2018,good,6,hybrid,5127.0,automatic,truck,black,0,2018-08-03,11,ram,3500
35999,2015,good,6,hybrid,157558.0,automatic,truck,grey,1,2018-12-13,59,ram,2500
31999,2011,good,6,hybrid,148128.0,automatic,truck,unknown,1,2018-11-21,64,ram,3500
28999,2012,good,6,hybrid,146875.0,automatic,truck,silver,1,2018-07-22,51,ram,2500
32999,2012,good,6,hybrid,126201.0,automatic,truck,silver,1,2018-10-26,58,ram,3500
7800,2010,excellent,6,hybrid,160266.0,automatic,truck,red,1,2018-08-06,55,nissan,frontier
14999,2016,excellent,4,hybrid,32000.0,automatic,SUV,grey,1,2018-08-10,66,honda,crv
19999,2015,excellent,8,hybrid,43000.0,automatic,truck,white,1,2019-04-01,63,gmc,sierra
4999,2008,excellent,6,hybrid,129448.0,automatic,mini-van,white,0,2018-06-15,13,chrysler,town & country
15600,2016,excellent,4,hybrid,106700.0,automatic,wagon,black,1,2018-05-08,40,subaru,outback
2500,2016,excellent,4,hybrid,35000.0,automatic,sedan,white,0,2018-10-12,8,honda,civic
14999,2013,good,6,hybrid,52520.0,automatic,truck,white,1,2018-05-02,23,ford,f150
7999,2013,good,4,hybrid,127230.0,automatic,sedan,red,0,2018-09-28,9,ford,focus
9877,2010,good,4,hybrid,153510.0,automatic,sedan,white,0,2018-07-06,17,toyota,corolla
8850,2017,good,4,hybrid,31501.0,automatic,sedan,white,0,2018-12-28,42,nissan,versa
24900,2016,excellent,8,hybrid,32000.0,automatic,truck,silver,1,2019-01-29,5,chevrolet,silverado 1500
3900,2016,excellent,6,hybrid,52000.0,automatic,SUV,blue,0,2018-08-18,10,ford,explorer
2700,2016,excellent,4,hybrid,27000.0,automatic,sedan,white,0,2018-06-20,73,honda,civic
13500,2012,excellent,8,hybrid,143000.0,automatic,truck,silver,0,2019-02-18,81,gmc,sierra 1500
12750,2011,good,8,hybrid,226000.0,automatic,truck,white,1,2018-10-28,29,gmc,sierra 2500hd
9500,2015,excellent,4,hybrid,84000.0,automatic,sedan,red,0,2019-02-07,34,nissan,altima
6500,2012,good,6,hybrid,119156.0,automatic,mini-van,unknown,0,2018-09-11,14,dodge,grand caravan
3000,2016,excellent,4,hybrid,58000.0,automatic,SUV,blue,0,2019-03-04,14,nissan,rogue
600,1999,salvage,4,hybrid,216348.0,automatic,sedan,white,0,2019-03-04,23,toyota,camry le
2900,2016,excellent,4,hybrid,18000.0,automatic,sedan,grey,0,2018-06-14,13,honda,civic
5500,2017,excellent,6,hybrid,25000.0,automatic,SUV,grey,1,2019-03-01,10,ford,explorer
11900,2005,good,8,hybrid,119358.0,automatic,truck,blue,0,2018-05-27,62,ford,f250 sd
30000,2015,excellent,6,hybrid,13365.0,automatic,SUV,white,1,2019-03-28,31,jeep,wrangler unlimited
15250,2011,excellent,8,hybrid,97000.0,automatic,truck,grey,1,2019-03-30,37,ford,f150
2800,2002,fair,6,hybrid,211000.0,automatic,sedan,unknown,0,2018-12-10,18,honda,accord
9700,2000,excellent,6,hybrid,200116.0,automatic,SUV,unknown,1,2018-11-10,17,toyota,4runner
10000,1995,good,8,hybrid,127807.0,automatic,coupe,unknown,0,2019-01-08,30,chevrolet,corvette
4500,2009,good,6,hybrid,171000.0,automatic,SUV,black,1,2019-01-23,16,jeep,liberty
11295,2015,excellent,4,hybrid,80148.0,automatic,sedan,unknown,0,2018-08-16,35,nissan,altima
500,2004,like new,4,hybrid,226980.0,automatic,sedan,unknown,0,2018-09-19,19,toyota,corolla
5900,2007,good,8,hybrid,229000.0,automatic,truck,white,1,2018-07-10,61,ram,2500
13000,2004,good,8,hybrid,85104.0,automatic,convertible,blue,0,2018-10-12,127,chevrolet,corvette
9200,2017,excellent,4,hybrid,12000.0,automatic,sedan,grey,0,2018-12-26,26,nissan,sentra
5999,2007,excellent,6,hybrid,122000.0,automatic,sedan,grey,0,2018-12-05,6,chrysler,300
6000,2005,excellent,4,hybrid,148000.0,automatic,wagon,blue,0,2018-06-26,47,subaru,outback
12995,2009,excellent,8,hybrid,157976.0,automatic,SUV,white,1,2018-12-17,32,chevrolet,suburban
15800,2009,excellent,8,hybrid,150000.0,automatic,truck,white,0,2018-07-03,36,gmc,sierra 1500
4000,2005,excellent,6,hybrid,167000.0,automatic,SUV,red,1,2018-05-12,8,honda,pilot
17999,1996,excellent,8,hybrid,30469.0,manual,convertible,unknown,0,2018-05-10,59,chevrolet,corvette
19995,2012,good,8,hybrid,129516.0,automatic,SUV,unknown,1,2019-03-28,61,chevrolet,tahoe
2999,2004,good,4,hybrid,149000.0,manual,sedan,silver,0,2018-07-31,15,volkswagen,jetta
1900,1999,excellent,6,hybrid,191135.0,automatic,truck,yellow,1,2018-08-02,26,ford,ranger
5999,2002,excellent,6,hybrid,153000.0,automatic,SUV,white,1,2018-05-23,82,bmw,x5
6999,2006,excellent,6,hybrid,169269.0,automatic,sedan,white,0,2018-09-15,28,acura,tl
8600,2012,excellent,6,hybrid,126000.0,automatic,coupe,black,0,2018-06-07,45,ford,mustang
7997,2009,excellent,8,hybrid,0.0,automatic,SUV,white,1,2019-03-16,88,gmc,yukon
28000,2017,like new,8,hybrid,53000.0,automatic,truck,white,1,2019-01-17,91,chevrolet,silverado
25000,2015,good,8,hybrid,150000.0,automatic,truck,white,1,2019-03-08,75,chevrolet,silverado
4000,2002,good,6,hybrid,98000.0,automatic,SUV,silver,1,2019-01-27,11,ford,escape
16600,1975,excellent,8,hybrid,75000.0,manual,coupe,unknown,0,2019-03-09,69,chevrolet,corvette
18400,1975,excellent,8,hybrid,18000.0,automatic,coupe,orange,0,2019-01-06,41,chevrolet,corvette
12500,2017,like new,4,hybrid,25000.0,automatic,wagon,grey,1,2019-02-18,78,subaru,impreza
44900,2017,good,8,hybrid,23455.0,automatic,truck,unknown,1,2018-06-10,89,gmc,sierra 2500hd
5900,2013,good,4,hybrid,57075.0,automatic,sedan,white,0,2019-02-22,44,nissan,altima
8875,2012,good,4,hybrid,129843.0,automatic,hatchback,unknown,0,2018-12-28,60,toyota,prius
18875,2015,good,6,hybrid,83823.0,automatic,SUV,white,0,2019-01-27,13,ford,explorer
6975,2018,good,4,hybrid,34611.0,automatic,sedan,unknown,0,2018-09-14,30,nissan,sentra
34275,2018,good,6,hybrid,27403.0,automatic,SUV,black,1,2018-12-23,11,jeep,wrangler
11675,2012,good,6,hybrid,113417.0,automatic,SUV,white,1,2018-11-16,39,gmc,acadia
